제목,저자,발행처
나미야 잡화점의 기적 :히가시노 게이고 장편소설,히가시노 게이고 지음,현대문학
여행의 이유 :김영하 산문,김영하 지음,문학동네
파친코 :이민진 장편소설 .1,이민진 지음,문학사상
바깥은 여름 :김애란 소설,김애란 [지음],문학동네
총 균 쇠 :무기 병균 금속은 인류의 운명을 어떻게 바꿨는가,재레드 다이아몬드 지음,문학사상
돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설,야쿠마루 가쿠 지음,북플라자(Book plaza)
신경 끄기의 기술 :인생에서 가장 중요한 것만 남기는 힘,마크 맨슨 지음,갤리온: 웅진씽크빅
이기적 유전자,리처드 도킨스 지음,을유문화사
피프티 피플 :정세랑 장편소설,정세랑 지음,창비
내게 무해한 사람 :최은영 소설,최은영 지음,문학동네
소년이 온다 :한강 장편소설,한강 지음,창비
어떻게 살 것인가,유시민 [지음],아름다운사람들: 생각의길
파친코 :이민진 장편소설 .2,이민진 지음,문학사상
달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 : 이미예 장편소설,이미예 지음,팩토리나인
바깥,안익수 외 지음,마음산책
(나를 숨 쉬게 하는) 보통의 언어들,김이나 지음,위즈덤하우스
대도시의 사랑법 :박상영 연작소설,박상영 지음,창비
모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도 기본을 지키는 손웅정의 삶의 철학,손웅정 지음,수오서재
백광 :렌조 미키히코 장편소설,렌조 미키히코 지음,모모: 바이포엠 스튜디오
부의 대이동 :금과 달러의 흐름으로 읽는 미래 투자 전략,오건영 지음,Page2 : 페이지2북스
사피엔스 :유인원에서 사이보그까지 인간 역사의 대담하고 위대한 질문,유발 하라리 지음,김영사
우리가 빛의 속도로 갈 수 없다면 :김초엽 소설집,김초엽 지음,허블
채식주의자 :한강 연작소설,한강 지음,창비
7년의 밤 :정유정 장편소설,정유정 지음,은행나무
H마트에서 울다,미셸 자우너 지음,문학동네
마법의 설탕 두조각,미하엘 엔데 글,소년한길
미드나잇 라이브러리,매트 헤이그 지음,인플루엔셜
미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침,기시미 이치로,인플루엔셜
밝은 밤 :최은영 장편소설,최은영 지음,문학동네
부자 아빠 가난한 아빠 :부자들이 들려주는 '돈'과 '투자'의 비밀 : 20주년 특별 기념판,로버트 기요사키 지음,민음인
아몬드 :손원평 장편소설,손원평 지음,창비
완전한 행복 :정유정 장편소설,정유정 지음,은행나무
종의 기원 :정유정 장편소설 =The origin of species,정유정 지음,은행나무
죽고 싶지만 떡볶이는 먹고 싶어 :백세희 에세이,백세희 지음,흔
지구 끝의 온실 :김초엽 장편소설,김초엽 지음,Giant Books(자이언트북스)
친밀한 이방인 :정한아 장편소설,정한아 지음,문학동네
테라피스트 :B.A. 패리스 장편소설,B.A. 패리스 지음,모모
팩트풀니스 :우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유,한스 로슬링,김영사
햇빛은 찬란하고 인생은 귀하니까요 :밀라논나 이야기: ciao amici,장명숙 지음,김영사
28 :정유정 장편소설,정유정 지음,은행나무
공간이 만든 공간 :새로운 생각은 어떻게 만들어지는가,유현준 지음,을유문화사
나는 단순하게 살기로 했다 :물건을 버린 후 찾아온 12가지 놀라운 인생의 변화,사사키 후미오 지음,비즈니스북스
나는 소망한다 내게 금지된 것을 :양귀자 장편소설,양귀자 [지음],쓰다
선량한 차별주의자,김지혜 지음,창비
순례주택 :유은실 소설,유은실 지음,비룡소
어서 오세요 휴남동 서점입니다 :황보름 장편소설,황보름 지음,클레이하우스
홍학의 자리 :정해연 장편소설,정해연 지음,엘릭시르 : 문학동네
(고양이 해결사) 깜냥 :홍민정 동화 .3 태권도의 고수가 되어라!,홍민정 지음,창비
가재가 노래하는 곳 :델리아 오언스 장편소설,델리아 오언스 [지음],살림 : 살림출판사
개인주의자 선언 :판사 문유석의 일상유감,문유석 [지음],문학동네
그녀는 다 계획이 있다 :히가시노 게이고 장편소설,히가시노 게이고 지음,하빌리스: 대원씨아이
나는 부동산과 맞벌이한다 :배우자 대신 꼬박꼬박 월급을 가져오는 시스템 만들기,너바나 지음,시공사: 알키
달러구트 꿈 백화점 :이미예 장편소설 .2 단골손님을 찾습니다,이미예 지음,팩토리나인
더 해빙 :부와 행운을 끌어당기는 힘 =The having,이서윤,수오서재
마음이 흐르는 대로 :삶이 흔들릴 때 우리가 바라봐야 할 단 한 가지 =Follow your heart,지나영 지음,다산북스
망원동 브라더스 :김호연 장편소설,김호연 지음,나무옆의자
모순 :양귀자 소설,양귀자 지음,쓰다
방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,조원재 지음,백도씨: 블랙피쉬
방금 떠나온 세계 :김초엽 소설집,김초엽 지음,한겨레출판: 한겨레엔
백조와 박쥐 :히가시노 게이고 장편소설,히가시노 게이고 지음,현대문학
부의 시나리오 :불확실성을 기회로 만드는 4가지 투자전략,오건영 지음,Page2(페이지2북스)
사건,아니 에르노 [지음],민음사
스노볼 드라이브 :조예은 장편소설,조예은 지음,민음사
시선으로부터 :정세랑 장편소설,정세랑 지음,문학동네
아내를 모자로 착각한 남자,올리버 색스 지음,알마(Alma)
아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,제임스 클리어 지음,비즈니스북스
어린이라는 세계 :김소영 에세이,김소영 지음,사계절: 사계절출판사
여름의 빌라 :백수린 소설,백수린 지음,문학동네
저주토끼 :정보라 소설집 =Cursed bunny,정보라 지음,아작
칵테일 러브 좀비,조예은 지음,안전가옥
토지 :박경리 대하소설 .1 제1부 1권,박경리 지음,마로니에북스
프로젝트 헤일메리,앤디 위어 지음,RHK(알에이치코리아)
행성어 서점 :김초엽 짧은 소설,김초엽 지음,마음산책
(1일 1로그 100일 완성) IT 지식 :하드웨어 소프트웨어 통신 데이터 4가지 IT 근육으로 디지털 문해력 기르기,브라이언 W. 커니핸 지음,인사이트
(설민석의) 한국사 대모험 .17 6?25 전쟁 편 : 황금순 할머니의 소원,설민석,아이휴먼×Dankkumi: 휴먼큐브
(우당탕탕 야옹이와) 금빛 마법사 :구도 노리코 동화,구도 노리코 [지음],책읽는곰
1차원이 되고 싶어 :박상영 장편소설,박상영 지음,문학동네
공허한 십자가 :히가시노 게이고 장편소설,히가시노 게이고 [지음],자음과모음: 더이룸출판사
기분이 태도가 되지 않게 :기분 따라 행동하다 손해 보는 당신을 위한 심리 수업,레몬심리 지음,갤리온 : 웅진씽크빅
나는 4시간만 일한다 :디지털 노마드 시대 완전히 새로운 삶의 방식,팀 페리스 지음,빛과향기: 다른상상
내가 틀릴 수도 있습니다 :숲속의 현자가 전하는 마지막 인생수업,비욘 나티코 린데블라드 지음,다산초당 : 다산북스
단순한 열정 :아니 에르노 소설,아니 에르노 [저],문학동네
돈의 심리학 :당신은 왜 부자가 되지 못했는가,모건 하우절 지음,인플루엔셜
모순 :양귀자 장편소설,양귀자 지음,살림출판사
모스크바의 신사 :에이모 토울스 장편소설,에이모 토울스 [지음],현대문학
목소리를 드릴게요 :정세랑 소설집,정세랑 지음,아작
믿음에 대하여 :박상영 연작소설,박상영 지음,문학동네
밤이 선생이다 :황현산 산문집,황현산 [지음],문학동네: 난다
방구석 미술관 :가볍게 시작해 볼수록 빠져드는 한국 현대미술 .2 한국,조원재 지음,블랙피쉬: 백도씨
브람스를 좋아하세요..,프랑수아즈 사강 지음,민음사
서영동 이야기 :조남주 연작소설,조남주 지음,한겨레출판: 한겨레엔
쇼코의 미소 :최은영 소설,최은영 [지음],문학동네
여기는 커스터드 특별한 도시락을 팝니다,가토 겐 지음,필름: 필름(Feelm) 출판사
오백 년째 열다섯 :김혜정 장편소설,김혜정 글,위즈덤하우스
월급쟁이 부자로 은퇴하라 :3년 만에 30년 치 연봉을 번 김 과장의 시스템 마련법,너나위 지음,RHK(알에이치코리아)
일의 기쁨과 슬픔 :장류진 소설집,장류진 [지음],창비
작별인사 :김영하 장편소설,김영하 지음,복복서가
잘될 수밖에 없는 너에게 :최서영 에세이,최서영 지음,북로망스
정리하는 뇌 :디지털 시대 정보와 선택 과부하로 뒤엉킨 머릿속과 일상을 정리하는 기술,대니얼 J. 레비틴 지음,와이즈베리
지적 대화를 위한 넓고 얕은 지식 .1 현실-역사?경제?정치?사회?윤리,채사장 지음,웨일북(Whale Books)
집에서 혼자 죽기를 권하다 :건강하게 살다 가장 편안하게 죽는 법,우에노 지즈코 지음,동양북스
천 개의 파랑 :한국과학문학상 장편 대상 : 천선란 장편소설,천선란 지음,허블
타인의 해석 :당신이 모르는 사람을 만났을 때,말콤 글래드웰 지음,김영사
퇴사하겠습니다,이나가키 에미코 지음,북하우스 퍼블리셔스 : 엘리
