127.0.0.1 - - [08/Nov/2022:09:04:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Nov/2022:09:04:29 +0900] "GET /webz/index01.html HTTP/1.1" 200 28239
0:0:0:0:0:0:0:1 - - [08/Nov/2022:09:04:29 +0900] "GET /webz/%EB%B2%A0%EB%84%A4%EC%B9%98%EC%95%84.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [08/Nov/2022:09:04:29 +0900] "GET /webz/index.html HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [08/Nov/2022:09:04:30 +0900] "GET /webz/html.png HTTP/1.1" 200 3192
0:0:0:0:0:0:0:1 - - [08/Nov/2022:09:04:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Nov/2022:09:14:00 +0900] "GET /webz/index.html HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/Nov/2022:09:14:02 +0900] "GET /webz/resources/java.lang.txt HTTP/1.1" 200 17062
0:0:0:0:0:0:0:1 - - [08/Nov/2022:09:14:57 +0900] "GET /webz/resources/java.lang.txt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:09:16:10 +0900] "GET /webz/index.html HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [08/Nov/2022:09:16:12 +0900] "GET /webz/resources/java.lang.zip HTTP/1.1" 200 17062
0:0:0:0:0:0:0:1 - - [08/Nov/2022:09:17:49 +0900] "GET /webz/index.html HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [08/Nov/2022:09:17:50 +0900] "GET /webz/htmls/text.html HTTP/1.1" 200 2437
0:0:0:0:0:0:0:1 - - [08/Nov/2022:09:17:50 +0900] "GET /webz/htmls/Python.png HTTP/1.1" 200 13983
0:0:0:0:0:0:0:1 - - [08/Nov/2022:09:17:50 +0900] "GET /webz/imgs/db.png HTTP/1.1" 200 93270
0:0:0:0:0:0:0:1 - - [08/Nov/2022:09:17:55 +0900] "GET /webz/resources/java.lang.txt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:09:18:34 +0900] "GET /webz/index.html HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [08/Nov/2022:09:19:03 +0900] "GET /webz/index.html HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [08/Nov/2022:09:21:45 +0900] "GET /webz/index.html HTTP/1.1" 200 590
